position	cipher_token	candidate_expansion	status	strict_rendering	note
1	71		boundary_hypothesis	[[BOUNDARY_OR_NULL?:71]]	Initial boundary or null hypothesis only. Kept visible in strict output; no letter value established.
2	49	do	working_assignment	do	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
3	q	b	working_assignment	b	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
4	~4	li	working_assignment	li	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
5	57	ge	working_assignment	ge	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
6	3	r	working_assignment	r	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
7	~34	si	working_assignment	si	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
8	q=	l	working_assignment	l	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
9	"""13"	es	working_assignment	es	Fixed literal ES. EST in normalized French requires supplying T at positions 9 and 189. Position 59 remains in an unresolved span.
10	~20	po	working_assignment	po	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
11	~34	si	working_assignment	si	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
12	q	b	working_assignment	b	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
13	~3	le	working_assignment	le	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
14	a	l	working_assignment	l	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
15	c	e	working_assignment	e	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
16	15	s	working_assignment	s	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
17	"""12"	en	working_assignment	en	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
18	~13	ne	working_assignment	ne	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
19	~9	mi	working_assignment	mi	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
20	4	s	working_assignment	s	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
21	&	a	working_assignment	a	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
22	~13	ne	working_assignment	ne	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
23	~20	po	working_assignment	po	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
24	h-	i	working_assignment	i	I coheres in POINT and FAIRE. Position 63 is in the unresolved Meuse span.
25	ss	n	working_assignment	n	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
26	16	t	working_assignment	t	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
27	47	de	working_assignment	de	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
28	56	ga	working_assignment	ga	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
29	13	r	working_assignment	r	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
30	~14	ni	working_assignment	ni	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
31	14	r	working_assignment	r	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
32	~30	ro	working_assignment	ro	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
33	l	c	working_assignment	c	Working assignment from the recovered text and/or regular syllabary; not independently manuscript-verified.
